Date,Open,High,Low,Close
09/13/2023,"19,989.50","20,096.90","19,944.10","20,070.00"
09/12/2023,"20,110.15","20,110.35","19,914.65","19,993.20"
09/11/2023,"19,890.00","20,008.15","19,865.35","19,996.35"
09/08/2023,"19,774.80","19,867.15","19,727.05","19,819.95"
09/07/2023,"19,598.65","19,737.00","19,550.05","19,727.05"
09/06/2023,"19,581.20","19,636.45","19,491.50","19,611.05"
09/05/2023,"19,564.65","19,587.05","19,525.75","19,574.90"
09/04/2023,"19,525.05","19,545.15","19,432.85","19,528.80"
09/01/2023,"19,258.15","19,458.55","19,255.70","19,435.30"
08/31/2023,"19,375.55","19,388.20","19,223.65","19,253.80"
08/30/2023,"19,433.45","19,452.80","19,334.75","19,347.45"
08/29/2023,"19,374.85","19,377.90","19,309.10","19,342.65"
08/28/2023,"19,298.35","19,366.85","19,249.70","19,306.05"
08/25/2023,"19,297.40","19,339.55","19,229.70","19,265.80"
08/24/2023,"19,535.15","19,584.45","19,369.00","19,386.70"
08/23/2023,"19,439.20","19,472.05","19,366.60","19,444.00"
08/22/2023,"19,417.10","19,443.50","19,381.30","19,396.45"
08/21/2023,"19,320.65","19,425.95","19,296.30","19,393.60"
08/18/2023,"19,301.75","19,373.80","19,253.60","19,310.15"
08/17/2023,"19,450.55","19,461.55","19,326.25","19,365.25"
08/16/2023,"19,369.00","19,482.75","19,317.20","19,465.00"
08/14/2023,"19,383.95","19,465.85","19,257.90","19,434.55"
